name,latitude,longitude,inhabitedSince,inhabitedUntil,wikipedia,access,addr.city,alt_name,alt_name.ar,alt_name.cs,alt_name.el,alt_name.en,alt_name.he,civilizations,denomination,desc,description,description.de,description.en,description.he,description.hu,designation,ele,heritage,historic.civilization,historic.era,historic.period,image,image1,image2,image3,image4,image5,image6,image_1,image_2,inscription,int_name,is_in,layer,link,man_made,mapillary,name.ar,name.ar1,name.be,name.bg,name.bn,name.br,name.ca,name.ckb,name.cs,name.de,name.el,name.en,name.en1,name.en2,name.en3,name.en4,name.en5,name.en6,name.eo,name.es,name.fi,name.fr,name.gu,name.he,name.he1,name.he2,name.he3,name.hi,name.hu,name.hy,name.id,name.it,name.ja,name.ka,name.kn,name.ko,name.ku,name.la,name.lt,name.ml,name.mn,name.mr,name.nl,name.no,name.pa,name.pl,name.pt,name.ro,name.ru,name.sl,name.sr,name.tr,name.uk,name.vi,name.zh,name_local,natural,old_name,old_name.fr,place,ref.whc,reference,religion,short_name.cs,site_type,start_date,url,website,website1,whc.criteria,whc.inscription_date,wiki.en,wikidata,wikipedia.en,wpt_description
תל ראש,33.0333141,35.3333561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل رأس,تل راش,,,,,,,,,,Tel Rosh,,,,,,,,,,,,תל ראש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל ישוע,31.2740404,34.98755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Yeshua,Tell Sawa,,,,,,,,,,,תל ישוע,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sharayi`,32.5,35.133333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sharayi`,Qasr Sharayi',Sharai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת רבוא,31.6575865,34.9791273,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horbat Ribbo,,,,,,,,,,,,חורבת רבוא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,
תל רכש,32.6530514,35.4663322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Rekhesh,,,,,,,,,,,,תל רכש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
הר ערקוב,30.7890453,34.734436,,,,,,,,,,,,,,,"הר עם הרבה ציורי סלע, מאובנים ותצפית יפה שחושפת סימנים לנבטים שאכלסו את האזור. לפי חוקרים ציורי הסלע היו חלק מטקסי פולחן של הנבטים.",,,"הר עם הרבה ציורי סלע, מאובנים ותצפית יפה שחושפת סימנים לנבטים שאכלסו את האזור. לפי חוקרים ציורי הסלע היו חלק מטקסי פולחן של הנבטים.",,,663,,,,,https://upload.wikimedia.org/wikipedia/commons/3/36/Israel_Hiking_Map_%D7%94%D7%A8_%D7%A2%D7%A8%D7%A7%D7%95%D7%91.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. `Arqov,Jebel Irqab Isdud,,,,,,,,,,,הר ערקוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל רחוב,32.4583321,35.4972229,,,he:תל רחוב,,,,,,,,,,,,תל גבוה ותצפית יפה (על שדה החמניות בעונה). עליות מעניינות לג'יפים.,,,תל גבוה ותצפית יפה (על שדה החמניות בעונה). עליות מעניינות לג'יפים.,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/4/4a/Israel_Hiking_Map_%D7%AA%D7%9C_%D7%A8%D7%97%D7%95%D7%91_1.jpeg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Israel_Hiking_Map_%D7%AA%D7%9C_%D7%A8%D7%97%D7%95%D7%91.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Rehov,,,,,,,,,,Tel Rehov,,תל רחוב,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2920011,,
תל ערד,31.2799119,35.1255017,,,en:Tel Arad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Arad,Arad,Arod,Tall Arud,Tell Urad,,,,,,Tel Arad,,תל ערד,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2063578,,
Tel Malluah,32.433333,35.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Malluah,,,,,,,,,,,,תל מלוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q31354640,,
תל בטש,31.785337,34.9115833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Batash,,,,,,,,,,Timna,,תל בטש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q2916736,,
תל גת חפר,32.738889,35.320833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل غت حفر,,,,,,,,,,,Tel Gat Hefer,,,,,,,,,,,,תל גת חפר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Hodim,32.8620855,35.53568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Hodim,,,,,,,,,,,,תל הודים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל ינעם,32.716667,35.516667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Yin`am,,,,,,,,,,,,תל ינעם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל גובל,32.7277834,35.3850841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Govel,,,,,,,,,,,,תל גובל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל פורן,31.7079458,34.6120965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Poran,,,,,,,,,,,,תל פורן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל בית שאן,32.5043698,35.5033129,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/2/26/IHM_תל_בית_שאן.jpeg,,,,,,,,,,,,,,,,,,,,,,,,Tel Bejt Še'an,,,Tel Beit Shean,,,,,,,,,,Tel Beït-Shéan,,תל בית שאן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q3517238,,
תל גדור,32.4289786,34.8752087,,,,,,Tell as-Sheikh Ziraq,,,,,,,,,התל מתנשא 33 מ' מעל פני הים ומראשו יש תצפית נפלאה על החוף ועל מרחבי השרון.,,,התל מתנשא 33 מ' מעל פני הים ומראשו יש תצפית נפלאה על החוף ועל מרחבי השרון.,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/8/86/IHM_תל_גדור.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Gador,,,,,,,,,,,,תל גדור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.parks.org.il/reserve-park/%D7%92%D7%9F-%D7%9C%D7%90%D7%95%D7%9E%D7%99-%D7%95%D7%A9%D7%9E%D7%95%D7%A8%D7%AA-%D7%98%D7%91%D7%A2-%D7%97%D7%95%D7%A3-%D7%92%D7%93%D7%95%D7%A8/,,,,,,,
תל עתר,31.6159361,34.8785694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel `Eter,,,,,,,,,,,,תל עתר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל יונה,31.996126,34.7325459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Yona,Tell Yunis,,,,,,,,,,,תל יונה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל עדולם,31.6506233,35.0020332,,,he:עדולם,,,,,,,,,,,,"חורבות, מערות, באר מים ונוף יפה צפונה אל עמק האלה",,,"חורבות, מערות, באר מים ונוף יפה צפונה אל עמק האלה",,,439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Adullam,Khirbat Id al Minya,Khirbat Jubeil Naqqar,Miya,,,,,,,,,תל עדולם,,חורבת עדולם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,,,
תל אסור,32.482077,35.0194158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Esur,Tall al Asawir,Tel Arubot,,,,,,,,Tel Assor,,תל אסור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q6989380,,
Tel Mifsah,31.4678691,34.648914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Mifsah,,,,,,,,,,,,תל מפסח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל ישמעאל,32.55,35.566667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Yishma`el,,,,,,,,,,,,תל ישמעאל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת עקודים,33.044796,35.2133293,,,,,,,,,,,,,,,חורבה גלילית טיפוסית עם מאגר מים יפה,,,חורבה גלילית טיפוסית עם מאגר מים יפה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horbat Akudim,Khirbat al Quda,,,,,,,,,,,חורבת עקודים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל כיסון,32.8730545,35.1505547,,,he:תל כיסון,,,,,,,,,,,,תל כיסן,,,תל כיסן,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/b/be/Israel_Hiking_Map_%D7%AA%D7%9C_%D7%9B%D7%99%D7%A1%D7%9F.jpeg,,,,,,,,,,,,,,,,تل كيسون,,,,,,,,,,,Tel Kison,,,,,,,,,,Tel Kison,,תל כיסון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q55634890,,
Tel Zippor,31.65,34.733333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Zippor,,,,,,,,,,,,תל ציפור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל מחוז,31.9196636,34.7433949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Mahoz,,,,,,,,,,,,תל מחוז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל רעלה,32.6831902,35.1739929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Re`ala,,,,,,,,,,,,תל רעלה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
בית שערים,32.7037666,35.1292388,,,he:בית שערים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Beit She`arim,Beit She`arim,,,,,,,,,Beït-Shéarim,,בית שערים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q830805,,
Tel Haraz,31.871389,34.677222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Haraz,Tel Abu Haraza,Tell Abu Haraze,,,,,,,,,,תל חרז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
מצד חתרורים,31.2231441,35.3055188,,,,,,,,,,,,,,,,,,,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/a/a6/Israel_Hiking_Map_מצד_חתרורים.jpeg,https://upload.wikimedia.org/wikipedia/commons/5/5a/Israel_Hiking_Map_מצד_חתרורים_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,Mezad Hatrurim,Metsad Hatrurim,Qasr el Juheiniya,Qasr el Juheiniye,,,,,,,,,מצד חתרורים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל תאומים,32.4443985,35.494237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Te'omim,,,,,,,,,,,,תל תאומים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Shihan,31.45,34.533333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Shihan,,,,,,,,,,,,תל שיחן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל כלך,31.4770728,34.8284888,,,,,,,,,,,,,,,,,,,,,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Kelekh,Tall Umm Kalkha,,,,,,,,,,,תל כלך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל עין חדה,32.6843862,35.4905046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Ein Hadda,,,,,,,,,,,,תל עין חדה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Ya`oz,31.947222,34.724722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Ya`oz,,,,,,,,,,,,תל יעוז,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל צורן,32.3039276,34.9251482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Zoran,,,,,,,,,,,,תל צורן,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Sheqafim,32.416667,35.516667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Sheqafim,,,,,,,,,,,,תל שקפים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל דעוך,32.8711357,35.1224094,,,he:תל דעוך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Da`ok,Tel Da`okh,,,,,,,,,,,תל דעוך,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל שוקת,31.3094686,34.9099533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل شوكت,,,,,,,,,,,Tel Shoqet,,,,,,,,,,,,תל שוקת,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל מרוה,33.0180269,35.2399384,,,,,,,,,,,,,,,,,,,,,497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Marwa,Tall Marda,Tall Marida,Tell Marva,,,,,,,Tel Marwa,,תל מרוה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,Q26763556,,
תל שער,33.0730476,35.331839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Sha`ar,Tall Abu Babein,,,,,,,,,,,תל שער,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tel Lachish,31.5655212,34.8491898,,,en:Tel Lachish,,,,,,,,,,,,"תל לכיש הוא תל חשוב בשפלת יהודה, גובל בנחל לכיש.",,,"תל לכיש הוא תל חשוב בשפלת יהודה, גובל בנחל לכיש.",,,,,,,,https://upload.wikimedia.org/wikipedia/commons/3/37/Israel_Hiking_Map_תל_לכיש.jpeg,https://upload.wikimedia.org/wikipedia/commons/0/08/Israel_Hiking_Map_תל_לכיש_1.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Lakhish,Duwayr,Lachish,Lakhish,Lakish,Tall ad Duweir,Tel Lachish,,,,Lakish,,תל לכיש,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,תל לכיש,,,,,,,,,,,,,,,,,Q848509,,
תל א-שמאם,32.666667,35.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Shem,Tell esh Shammam,Tall ash Shamman,Tell esh Shemmam,,,,,,,,,תל א-שמאם,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
חורבת קרומית,31.641487,34.9797393,,,,,,,,,,,,,,,"שרידי מבנים, בורות מים, מיתקנים חצובים, מקוואות, מערות קבורה, חציבות ומערכת מסתור.",,,"שרידי מבנים, בורות מים, מיתקנים חצובים, מקוואות, מערות קבורה, חציבות ומערכת מסתור.",,,434,,,,,https://upload.wikimedia.org/wikipedia/commons/8/83/IHM_חורבת_קרומית.jpeg,,,,,,,,,,,,,,,,,,,,,,,,,,,Horbat Qerumit,,,,,,,,,,,,חורבת קרומית,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,http://www.hadashot-esi.org.il/report_detail.aspx?id=40&mag_id=108,,,,,,,
תל נופר,32.447222,35.491667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Nufar,,,,,,,,,,,,תל נופר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל קידה,33.0218945,35.2443988,,,,,,,,,,,,,,,,,,,,,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Qidda,Tall al Mashnaqa,,,,,,,,,Tel Kida,,תל קידה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peak,,,,,,,,,,,,,,,,Q26762866,,
تل ملقوح,32.404167,35.483333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,تل ملقوح,,,,,,,,,,,Tel Malqoah,Tall Maqhuz,,,,,,,,,,,תל מלקוח,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
אפולוניה,32.19521,34.8066381,,,he:אפולוניה,,,,,Apolonijský národní park,,,,,,,"אַפּוֹלוֹנְיָה-אַרְסוּף (גם תֵּל אַרְשָׁף) היא עיר עתיקה ששרידיה נמצאים היום בשרון הדרומי, ממערב לשכונת נוף ים בהרצליה, בקרבת סידנא עלי של ימינו. המקום הוכשר לביקורי מטיילים והוקם במקום גן לאומי.",,,"אַפּוֹלוֹנְיָה-אַרְסוּף (גם תֵּל אַרְשָׁף) היא עיר עתיקה ששרידיה נמצאים היום בשרון הדרומי, ממערב לשכונת נוף ים בהרצליה, בקרבת סידנא עלי של ימינו. המקום הוכשר לביקורי מטיילים והוקם במקום גן לאומי.",,,,,phoenician,,,,,,,,,,,,,,,,,,,أرسوف,,,,,Arsuf,Arsuf,,Arsuf,Arsuf,Απολλωνία,Tel Arshaf,Apollonia,Appolonia,Arsuf,Arsum,Rishpon,,,Arsuf,,Apollonie,,אפולוניה,,,,,,,,Arsuf,,,,,,,,,,,,,,,Apolónia da Palestina,,Арсуф,,Арсуф,,Арзуф,,,,,,,,,,,Apollonia,city,~C6 BC,,,,,,,Q1024886,Apollonia-Arsuf,
תל אגרא,31.5015199,34.8732588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Agra,,,,,,,,,,,,תל אגרא,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל חווארה,32.766667,35.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Chawara,Tall al Kawa'ir,Tell el Kawayir,,,,,,,,,,תל חווארה,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל נחל,32.7999993,35.0666714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Nahal,Tell el Nahl,,,,,,,,,,,תל נחל,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל ברור,31.5662496,34.6316793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Beror,,,,,,,,,,,,תל ברור,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
תל זיתון,32.0995587,34.8370119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Zeton,,,,,,,,,,Tel Zeton,,תל זיתון,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q61125424,,
Tel Par,32.770833,35.104444,,,he:תל פר,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tel Par,,,,,,,,,,,,נחל פרצים,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
