,100,200,300,400,500,600,700,800,900,1000,1100,1200,1279,1300,1400,1492,1500,1530,1600,1650,1700,1715,1783,1800,1815,1880,1900,1914,1920,1930,1938,1945,1960,1994,2000,2010
Adal,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,
Adena,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Africa,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
Aghlabid Emirate,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Agwarmin,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Ahantchuyuk,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ahmadnagar,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Ahtna Nenn’,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ahé (Kawahib),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aikanã,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ainu,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,X,X,X,X,,,,,,,,,,,,,,,
Ainus,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Air,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,
Ais,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Akaitcho,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Akan,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,,,,
Akatziri,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akawaio/Akawayo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Akimel O'odham (Upper Pima),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Akokisa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Akwê,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Alabama,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Alamans,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alans,X,,,,,,X,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Alawa,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Alazapas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,X,X,X
Algeria (FR),,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Algeria (France),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,
Algiers,,,,,,,,,,,,,,,,,,,,X,,X,X,X,X,,,,,,,,,,,
Algonquin,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Almohad Caliphate,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Almoravid dynasty,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Alutiiq (Sugpiaq),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Alwa,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Alyawarre,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Amahuaca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Amangu,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Amarak,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Amazon hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,,,,,,,,,,,
Ambaló,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Amboca,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ambur,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Amorúa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Anambé,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Anasazi,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andean hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,X,X,X,X,X,X,X,,,,,,,,,,,,,
Andean states and chiefdoms,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Andegerebenha,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Andoa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X
Andyamathanha,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Angaité,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Angevin Empire,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Anggamudi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Anglo-Egyption Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Anglo-Saxons,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X,X,,,X,X,X,X
Angola (Portugal),,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,,,,
Anguilla,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,X,X,X
Anguthimri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Anhalt,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Anishinabewaki ᐊᓂᔑᓈᐯᐗᑭ,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Anmatyerre,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Annam,,,,,,,,,,X,,,,,,,,,,,,,,,X,X,,,X,X,,X,,,,
Antakarinja,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Antarctica,,,,,,,,X,X,,,,,,,,,,,,,,,,X,,,,,,,,X,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,X,X,X,,X,X,X
Apache,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,
Apalachee,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,
Apalachees,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aparai,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Apiaká,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Apinayé,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Appamattuck,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Apsaalooké (Crow),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Apyãwa,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Arabana,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Arabela,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Arabia,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Arabia (Nejd),,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Arabs,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,
Aragón,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Arakan,X,,,,,X,,,X,,,,,,,X,X,,,X,,,X,X,X,,,,,,,,,,,
Arakan (Indian princely state),,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,,,,,,
Araona,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Arapaho,,,,,,,,,,,,,,,,X,,X,X,X,X,X,,,,,,,,,,,,,,
Arara of Volta Grande,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Arawaks,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,
Arctic marine mammal hunters,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Arikapú,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Arikara,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Arma,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Armenia,X,X,X,,,,X,,,X,X,X,,,,,,,,,,,,,,,,X,X,X,X,,,X,X,X
Armorica,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arosaguntacook,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Arran,,,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,
Arrernte,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Arrohatec,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Artsakh,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,
Aruá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Asante,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,
Aseniwuche Winewak (Rocky Mountain),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ashaninka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Asheninka,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Assam,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,,,,,,,,
Assiniboin,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Assiniboine,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Astrakhan Khanate,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,
Asturias,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atakapa,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Atakapa Ishak Chawasha,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Atakapa-Ishak,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Atfalati,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Athabascan,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,
Athabaskan,,,,,,,,X,X,X,X,X,X,X,X,,X,X,X,X,,,,,,,,,,,,,,,,
Atikum-Umã,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ato trading confederacy,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Atsugewi,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Attiwonderonk (Neutral),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aucocisco,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aures,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Australian aboriginal hunter-gatherers,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,X,X,X,X,X
Austria Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Austrian Empire,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,
Austrian Netherlands,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,
Austro-Hungarian Empire,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
Austronesian,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ava,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,
Avars,,,,,,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awabakal,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Awaeté,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Awaeté (Asurini of the Xingu),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Awajún,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Awaswas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Awngthim,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Awsa,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,
Awytyza,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Awá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Axum,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ayahuacas,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aymara,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aymara kingdoms,,,,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,
Ayoreo,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Ayutthaya,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,
Ayuukjä'äy (Mixe),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Azandes,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,X,X,X
Aztec Empire,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Añuu,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Aónikenk (Tehuelche),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Baden,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,
Badimaya,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Badtjala,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Bagan,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Bagirmi,,,,,,,,,,,,,,,,,,X,X,X,,,X,X,,,,,,,,,,,,
Bahamas,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,X,X,X,X,X,X
Bahawalpur,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Bahmani Kingdom,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Bakanh,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Balhae,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ballardong,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Baltic Tribes,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,
Baltic tribes,,,,,,,,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balts,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banas,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banawá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bandjigali,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Banggarla,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X
Banjima,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Bantou,,,,,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Baraba Baraba,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Baradha,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Barasano/Panenoá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,X,X,X,X,,X,X,X
Barbados (UK),,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Bardi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Barghawata,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barindji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Barkindji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Barna,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Barotse,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Barranbinya,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Barundji,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Barunggam,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Baré,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Barí,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bashkirs,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basks,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basutoland,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Batavian Republic,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
Batsil Winik' Otik (Tzotzil),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Baure,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bavaria,,,,,,,,,,,,,,,,,,,,,,,X,X,X,,,,,,,,,,,
Bayali,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Beaver,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Beaver Lake Cree,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bedouins,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bega,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bejas,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belgian Congo,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,,,
Belgium,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Belize,,,,,,,,,,,,,,,,,,,,X,X,X,,,,X,X,X,X,X,X,X,X,X,X,X
Bell-shaped burials culture,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bella,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,
Ben 'Zaa/Binnizá/Mén Diiste/Bene Xhon (Zapoteco),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bengal,,,,,,,,,,,,,,,,X,X,X,X,,,,X,,,,,,,,,,,,,
Benin,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,,,,,X,X,,,,,X,X,X,X,X
Beothuk,,,,,,,,X,X,,,,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,
Berar,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Berber Tribes,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,
Berbers,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,
Betoy,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Beylik of Aydin,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,X,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
Bia Mbyá,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bibbulman,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Bidai,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bidar,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Bidjara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Bidwell,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Big Stone Cree,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bigambul,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Bijapur,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,,,
Bilinara,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,,,,,,,,,,,
Biloxi,,,,,,,,,,,,,,,,X,,X,X,,,,,,,,,,,,,,,,,
Binbinga,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Bindjali,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Biri,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Biripi,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Birria,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Blackfoot,,,,,,,,,,,,,,,,,,X,X,X,X,X,,,,,,,,,,,,,,
Blemmyes,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Horde,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Bodéwadmiakiwen (Potawatomi),,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Boe,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Boethuk,,,,,,,,,,X,X,X,,,,,,,,,,,,,,,,,,,,,,,,
Bohanes,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Boihaenum,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bokhara Khanate,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,
Bolivia,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X
Boonwurrung,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,,,,,,,,,,,,
Bora,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Borgu States,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Boriken Taino,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Bornu-Kanem,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,
Bosnia,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X
Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,,,,,
Bosporian Kingdom,X,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bostos,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Botswana,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Brandenburg,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,X,X,X,X,X
Bremen,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,,,,,,,,,,
Bribri,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Britany,,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,
British American colonies,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,
British East Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,
British East India Company,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,
